# line table created 10-03-21 from NIST database
# elements h-zn I-II included for wavelength range 2000-20000 angstrom. Energy units in ev. Only lines with trans prob. All level information. No uncertainties. 
#Data c+p from NIST as tab-delim. No JS, no spaces in values 
# note that headers changed from ritz_wl_air to obs_wl_air for compatability with existing code, removed units from headers too
# read in as dataframe by pandas, with delim tab, index col false and comment char #
#strings stripped from ei and ek in pandas eg line_table['Ek(eV)']=line_table['Ek(eV)'].str.replace('[^\d.]', '').astype(float)
#element	obs_wl_air	intens	Aki	Acc	Ei	Ek	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type


element	sp_num	obs_wl_air	intens	Aki	Acc	Ei	Ek	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	rm
C	2	"10256.32"	""	"4.40e+06"	B	"20.922123"	"22.130648"	"2p3"	"2P*"	"3/2"	"2s2.5d"	"2D"	"5/2"	4	6		
C	2	"10256.96"	""	"7.33e+05"	B	"20.922123"	"22.130573"	"2p3"	"2P*"	"3/2"	"2s2.5d"	"2D"	"3/2"	4	4		
V	2	"10258.479"	""	"1.1e-02"	D+	"2.5444221"	"3.7526931"	"3d3.(2D2).4s"	"b 3D"	"1"	"3d3.(2F).4s"	"c 3F"	"2"	3	5	E2	
Fe	1	"10262.8598"	""	"1.6e-02"	E	"0.99011115"	"2.19786640"	"3d7.(4F).4s"	"a 5F"	"2"	"3d7.(4P).4s"	"a 5P"	"2"	5	5	E2	
Fe	1	"10264.6616"	""	"1.1e-02"	E	"1.48486439"	"2.69240763"	"3d7.(4F).4s"	"a 3F"	"4"	"3d7.(2G).4s"	"a 3G"	"5"	9	11	M1	
Fe	2	"10265.1159"	"1.1"	"2.4e+05"	E	"12.2829242"	"13.4904140"	"3d6.(3P2).5s"	"2P"	"3/2"	"3d6.(3P2).5p"	"4P*"	"5/2"	4	6		
Fe	2	"10268.3232"	"8"	"1.3e+06"	E	"12.2815138"	"13.4886264"	"3d6.(3P2).5s"	"4P"	"1/2"	"3d5.(2F1).4s.4p.(3P*)"	"4D*"	"1/2"	2	2		
C	1	"10273.90"	""	"1.53e+05"	B	"9.73643528"	"10.942892"	"2s2.2p.3d"	"1F*"	"3"	"2s2.2p.7p"	"1D"	"2"	7	5		
Fe	2	"10273.9414"	"1.7"	"1.1e+05"	D+	"11.4437749"	"12.6502274"	"3d5.(4D).4s.4p.(3P*)"	"6F*"	"9/2"	"3d6.(5D).6s"	"6D"	"7/2"	10	8		
B	2	"10274.26"	""	"1.4e+06"	D	"21.685249"	"22.89166"	"1s2.2s.4f"	"3F*"	"4"	"1s2.2s.5d"	"3D"	"3"	9	7		
B	2	"10274.3"	""	"3.2e+03"	D	"21.685249"	"22.89166"	"1s2.2s.4f"	"3F*"	"2"	"1s2.2s.5d"	"3D"	"3"	5	7		
B	2	"10274.3"	""	"1.6e+05"	D	"21.685249"	"22.89166"	"1s2.2s.4f"	"3F*"	"2"	"1s2.2s.5d"	"3D"	"2"	5	5		
B	2	"10274.3"	""	"1.5e+06"	D	"21.685249"	"22.89166"	"1s2.2s.4f"	"3F*"	"2"	"1s2.2s.5d"	"3D"	"1"	5	3		
B	2	"10274.3"	""	"1.2e+05"	D	"21.685249"	"22.89166"	"1s2.2s.4f"	"3F*"	"3"	"1s2.2s.5d"	"3D"	"3"	7	7		
B	2	"10274.3"	""	"1.3e+06"	D	"21.685249"	"22.89166"	"1s2.2s.4f"	"3F*"	"3"	"1s2.2s.5d"	"3D"	"2"	7	5		
C	1	"10274.9830"	""	"1.6e+05"	D	"9.330467271"	"10.53679751"	"2s.2p3"	"3P*"	"2"	"2s2.2p.5p"	"3D"	"3"	5	7		
Fe	2	"10283.3427"	"8"	"3.2e+05"	E	"12.2815138"	"13.4868634"	"3d6.(3P2).5s"	"4P"	"1/2"	"3d5.(2F1).4s.4p.(3P*)"	"4F*"	"3/2"	2	4		
C	1	"10284.14"	""	"8.7e+04"	C	"9.71295903"	"10.918215"	"2s2.2p.4s"	"1P*"	"1"	"2s2.2p.7p"	"1P"	"1"	3	3		
S	2	"10286.73"	""	"6.23e-02"	C	"1.841530"	"3.046483"	"3s2.3p3"	"2D*"	"3/2"	"3s2.3p3"	"2P*"	"3/2"	4	4	M1	
S	2	"10286.73"	""	"5.25e-02"	B+	"1.841530"	"3.046483"	"3s2.3p3"	"2D*"	"3/2"	"3s2.3p3"	"2P*"	"3/2"	4	4	E2	
Si	1	"10288.944"	""	"7.01e+05"	C+	"4.9200852"	"6.1247785"	"3s2.3p.4s"	"3P*"	"0"	"3s2.3p.4p"	"3S"	"1"	1	3		
Na	1	"10289.18"	""	"1.42e+05"	B	"3.7526285"	"4.9572937"	"2p6.4p"	"2P*"	"1/2"	"2p6.10s"	"2S"	"1/2"	2	2		
Na	1	"10295.11"	""	"2.83e+05"	B	"3.7533216"	"4.9572937"	"2p6.4p"	"2P*"	"3/2"	"2p6.10s"	"2S"	"1/2"	4	2		
Ne	1	"10295.4174"	"420"	"1.46e+05"	C+	"18.57583601"	"19.77977193"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"2"	"2s2.2p5.(2P*<1/2>).4s"	"2[1/2]*"	"1"	5	3		
Mg	1	"10299.24"	"5"	"5.28e+05"	C	"6.1182146"	"7.321703"	"3s.4p"	"1P*"	"1"	"3s.8s"	"1S"	"0"	3	1		
Fe	2	"10305.3276"	"1.3"	"9.e+04"	D+	"11.4474493"	"12.6502274"	"3d5.(4G).4s.4p.(3P*)"	"v 4F*"	"5/2"	"3d6.(5D).6s"	"6D"	"7/2"	6	8		
Fe	2	"10307.8480"	"2.1"	"3.8e+05"	E	"12.3455088"	"13.5479929"	"3d6.(3F2).5s"	"f 4F"	"9/2"	"3d5.(2I).4s.4p.(3P*)"	"2I*"	"11/2"	10	12		
N	1	"10307.963"	""	"2.91e+02"	C	"10.9239080"	"12.1263787"	"2s.2p4"	"4P"	"5/2"	"2s2.2p2.(3P).3p"	"2P*"	"3/2"	6	4		
C	1	"10310.271"	""	"1.2e+05"	D	"9.33030708"	"10.532508"	"2s.2p3"	"3P*"	"1"	"2s2.2p.5p"	"3D"	"2"	3	5		
Fe	2	"10310.8566"	"0.7bl(Fe II)*"	"3.0e+04"	D	"11.7394541"	"12.9415873"	"3d5.(4D).4s.4p.(3P*)"	"6P*"	"5/2"	"3d6.(5D).5d"	"6F"	"7/2"	6	8		
V	2	"10311.188"	""	"1.6e-02"	C	"2.5569243"	"3.7590189"	"3d3.(2D2).4s"	"b 3D"	"3"	"3d3.(2F).4s"	"c 3F"	"4"	7	9	E2	
He	1	"10311.22108"	"10*"	"5.5405e+04"	AAA	"[23.0070734673]"	"[24.209164158016]"	"1s.3p"	"3P*"	"2"	"1s.6d"	"3D"	"1"	5	3		
He	1	"10311.22690"	"10*"	"4.9860e+05"	AAA	"[23.0070734673]"	"[24.209163480258]"	"1s.3p"	"3P*"	"2"	"1s.6d"	"3D"	"2"	5	5		
He	1	"10311.22730"	"10*"	"1.9946e+06"	AAA	"[23.0070734673]"	"[24.209163433335]"	"1s.3p"	"3P*"	"2"	"1s.6d"	"3D"	"3"	5	7		
He	1	"10311.24445"	"10*"	"8.3108e+05"	AAA	"[23.0070761918]"	"[24.209164158016]"	"1s.3p"	"3P*"	"1"	"1s.6d"	"3D"	"1"	3	3		
He	1	"10311.25027"	"10*"	"1.4958e+06"	AAA	"[23.0070761918]"	"[24.209163480258]"	"1s.3p"	"3P*"	"1"	"1s.6d"	"3D"	"2"	3	5		
He	1	"10311.53230"	"2"	"1.1081e+06"	AAA	"[23.0071097475]"	"[24.209164158016]"	"1s.3p"	"3P*"	"0"	"1s.6d"	"3D"	"1"	1	3		
C	1	"10311.645"	""	"4.0e+04"	D	"9.330467271"	"10.532508"	"2s.2p3"	"3P*"	"2"	"2s2.2p.5p"	"3D"	"2"	5	5		
Mg	1	"10312.524"	"12"	"2.33e+05"	C+	"6.1182146"	"7.3201534"	"3s.4p"	"1P*"	"1"	"3s.7d"	"1D"	"2"	3	5		
Si	1	"10313.20"	""	"2.32e+06"	D+	"6.3990739"	"7.600934"	"3s2.3p.4p"	"1S"	"0"	"3s2.3p.5d"	"1P*"	"1"	1	3		
Fe	1	"10314.9588"	""	"5.2e-02"	E	"2.43269470"	"3.63434980"	"3d6.4s2"	"a 3H"	"5"	"3d6.4s2"	"a 1I"	"6"	11	13	M1	
V	2	"10317.819"	""	"9.e-03"	D+	"2.5561913"	"3.7575133"	"3d3.(2D2).4s"	"b 3D"	"2"	"3d3.(2F).4s"	"c 3F"	"3"	5	7	E2	
Fe	1	"10318.6926"	""	"1.2e-02"	E	"1.55735733"	"2.75857762"	"3d7.(4F).4s"	"a 3F"	"3"	"3d7.(2G).4s"	"a 3G"	"3"	7	7	M1	
S	2	"10320.49"	""	"1.22e-01"	B+	"1.845471"	"3.046483"	"3s2.3p3"	"2D*"	"5/2"	"3s2.3p3"	"2P*"	"3/2"	6	4	E2	
S	2	"10320.49"	""	"3.47e-02"	C	"1.845471"	"3.046483"	"3s2.3p3"	"2D*"	"5/2"	"3s2.3p3"	"2P*"	"3/2"	6	4	M1	
Fe	2	"10320.7656"	"2"	"1.2e+04"	D	"11.4868373"	"12.6878163"	"3d6.(3F1).4p"	"4D*"	"3/2"	"3d6.(5D).6s"	"6D"	"5/2"	4	6		
Li	2	"10323.14"	""	"2.4422e+07"	AAA	"72.261724"	"73.462427"	"1s.4p"	"1P*"	"1"	"1s.5d"	"1D"	"2"	3	5		
Fe	2	"10323.4620"	"6bl(Ne)"	"2.1e+05"	D+	"9.7359140"	"10.9365793"	"3d6.(5D).5s"	"e 6D"	"5/2"	"3d5.(4P).4s.4p.(3P*)"	"6D*"	"7/2"	6	8		
C	1	"10326.297"	""	"7.e+04"	D	"9.33030708"	"10.5306428"	"2s.2p3"	"3P*"	"1"	"2s2.2p.5p"	"3D"	"1"	3	3		
C	1	"10327.675"	""	"4.4e+03"	D	"9.330467271"	"10.5306428"	"2s.2p3"	"3P*"	"2"	"2s2.2p.5p"	"3D"	"1"	5	3		
C	1	"10328.610"	""	"9.e+04"	D	"9.33057587"	"10.5306428"	"2s.2p3"	"3P*"	"0"	"2s2.2p.5p"	"3D"	"1"	1	3		
Be	1	"10331.03"	"5*"	"1.05e+05"	B	"7.6936830"	"8.893468"	"1s2.2s.3d"	"3D"	"1"	"1s2.2s.6p"	"3P*"	"1"	3	3		
Be	1	"10331.03"	"5*"	"4.19e+03"	B	"7.6936830"	"8.893468"	"1s2.2s.3d"	"3D"	"1"	"1s2.2s.6p"	"3P*"	"2"	3	5		
Be	1	"10331.04"	"5*"	"6.28e+04"	B	"7.693683"	"8.893468"	"1s2.2s.3d"	"3D"	"2"	"1s2.2s.6p"	"3P*"	"2"	5	5		
Be	1	"10331.037"	"5*"	"3.51e+05"	B	"7.693683"	"8.893468"	"1s2.2s.3d"	"3D"	"3"	"1s2.2s.6p"	"3P*"	"2"	7	5		
Be	1	"10331.04"	"5*"	"3.14e+05"	B	"7.693683"	"8.893468"	"1s2.2s.3d"	"3D"	"2"	"1s2.2s.6p"	"3P*"	"1"	5	3		
Be	1	"10331.06"	"5*"	"4.19e+05"	B	"7.6936830"	"8.893466"	"1s2.2s.3d"	"3D"	"1"	"1s2.2s.6p"	"3P*"	"0"	3	1		
Fe	2	"10332.9285"	"6"	"6.7e+04"	D+	"6.72907574"	"7.9286411"	"3d5.4s2"	"b 4G"	"9/2"	"3d6.(3F2).4p"	"y 4G*"	"9/2"	10	10		
Li	2	"10334.17"	""	"3.635e+03"	AA	"72.261724"	"73.461145"	"1s.4p"	"1P*"	"1"	"1s.5d"	"3D"	"2"	3	5		
S	2	"10336.41"	""	"3.84e-02"	C	"1.841530"	"3.040691"	"3s2.3p3"	"2D*"	"3/2"	"3s2.3p3"	"2P*"	"1/2"	4	2	M1	
S	2	"10336.41"	""	"1.04e-01"	B+	"1.841530"	"3.040691"	"3s2.3p3"	"2D*"	"3/2"	"3s2.3p3"	"2P*"	"1/2"	4	2	E2	
C	2	"10338.64"	""	"3.07e+04"	B	"20.844687"	"22.043590"	"2s2.4d"	"2D"	"3/2"	"2s.2p.(3P*).3s"	"2P*"	"3/2"	4	4		
C	2	"10339.40"	""	"2.76e+05"	B	"20.844775"	"22.043590"	"2s2.4d"	"2D"	"5/2"	"2s.2p.(3P*).3s"	"2P*"	"3/2"	6	4		
Cu	2	"10343.472"	"6100"	"1.17e+07"	C+	"16.9166293"	"18.11497188"	"3d8.(3F).4s.4p.(1P*)"	"3F*"	"3"	"3d9.(2D<5/2>).5g"	"2[9/2]"	"4"	7	9		
N	1	"10354.844"	""	"2.50e+03"	C	"10.9293522"	"12.1263787"	"2s.2p4"	"4P"	"3/2"	"2s2.2p2.(3P).3p"	"2P*"	"3/2"	4	4		
Cu	2	"10357.586"	"780"	"4.8e+06"	D+	"16.9166293"	"18.11333896"	"3d8.(3F).4s.4p.(1P*)"	"3F*"	"3"	"3d9.(2D<5/2>).5g"	"2[7/2]"	"3"	7	7		
C	2	"10358.94"	""	"3.05e+05"	B	"20.844687"	"22.041240"	"2s2.4d"	"2D"	"3/2"	"2s.2p.(3P*).3s"	"2P*"	"1/2"	4	2		
N	1	"10359.834"	""	"9.26e+04"	B	"11.8397086"	"13.0361586"	"2s2.2p2.(3P).3p"	"4P*"	"3/2"	"2s2.2p2.(3P).3d"	"2D"	"5/2"	4	6		
Fe	2	"10361.5163"	"0.7"	"9.e+03"	D	"11.7491416"	"12.9453973"	"3d5.(4D).4s.4p.(3P*)"	"6P*"	"7/2"	"3d6.(5D).5d"	"6D"	"9/2"	8	10		
N	1	"10365.688"	""	"6.05e+04"	B	"11.8374298"	"13.0332041"	"2s2.2p2.(3P).3p"	"4P*"	"1/2"	"2s2.2p2.(3P).3d"	"2D"	"3/2"	2	4		
Fe	2	"10366.1673"	"8"	"8.e+04"	D+	"6.72393597"	"7.9196550"	"3d5.4s2"	"b 4G"	"11/2"	"3d6.(3F2).4p"	"y 4G*"	"11/2"	12	12		
S	2	"10370.49"	""	"6.81e-02"	B+	"1.845471"	"3.040691"	"3s2.3p3"	"2D*"	"5/2"	"3s2.3p3"	"2P*"	"1/2"	6	2	E2	
Si	1	"10371.264"	"30"	"4.01e+06"	C+	"4.9296471"	"6.1247785"	"3s2.3p.4s"	"3P*"	"1"	"3s2.3p.4p"	"3S"	"1"	3	3		
V	1	"10373.7884"	""	"3.e-04"	E	"0.00000000"	"1.19484056"	"3d3.4s2"	"a 4F"	"3/2"	"3d3.4s2"	"a 4P"	"3/2"	4	4	M1+E2	
N	1	"10375.693"	""	"3.00e+02"	C	"10.9317574"	"12.1263787"	"2s.2p4"	"4P"	"1/2"	"2s2.2p2.(3P).3p"	"2P*"	"3/2"	2	4		
N	1	"10376.3"	""	"2.01e+07"	C+	"13.7028638"	"14.89742"	"2s2.2p2.(1D).3p"	"2D*"	"3/2"	"2s2.2p2.(1D).3d"	"2D"	"3/2"	4	4		
Al	2	"10381.68"	""	"9.52e+05"	C	"16.7393899"	"17.93332"	"3s.6p"	"3P*"	"0"	"3s.8d"	"3D"	"1"	1	3		
C	1	"10382.1092"	""	"6.6e+03"	C	"8.64039604"	"9.83427899"	"2s2.2p.3p"	"3D"	"1"	"2s2.2p.3d"	"3P*"	"1"	3	3		
V	2	"10382.287"	""	"1.3e-02"	D+	"1.07126862"	"2.2651312"	"3d3.(4F).4s"	"a 3F"	"2"	"3d4"	"a 3D"	"1"	5	3	M1+E2	
N	1	"10382.4"	""	"1.47e+06"	C+	"13.7028638"	"14.89671"	"2s2.2p2.(1D).3p"	"2D*"	"3/2"	"2s2.2p2.(1D).3d"	"2D"	"5/2"	4	6		
Al	2	"10385.17"	""	"1.29e+06"	C+	"16.7398135"	"17.933345"	"3s.6p"	"3P*"	"1"	"3s.8d"	"3D"	"2"	3	5		
Al	2	"10385.36"	""	"7.17e+05"	C	"16.7398135"	"17.93332"	"3s.6p"	"3P*"	"1"	"3s.8d"	"3D"	"1"	3	3		
N	1	"10385.480"	""	"3.66e+04"	B	"11.8397086"	"13.0332041"	"2s2.2p2.(3P).3p"	"4P*"	"3/2"	"2s2.2p2.(3P).3d"	"2D"	"3/2"	4	4		
Mg	2	"10391.76"	"5"	"1.06e+06"	A	"11.629672"	"12.822446"	"2p6.4f"	"2F*"	"5/2"	"2p6.5d"	"2D"	"3/2"	6	4		
Al	2	"10391.81"	""	"1.71e+06"	C+	"16.7406102"	"17.933378"	"3s.6p"	"3P*"	"2"	"3s.8d"	"3D"	"3"	5	7		
Mg	2	"10392.09"	""	"5.00e+04"	B+	"11.629672"	"12.822409"	"2p6.4f"	"2F*"	"5/2"	"2p6.5d"	"2D"	"5/2"	6	6		
Al	2	"10392.11"	""	"4.28e+05"	C	"16.7406102"	"17.933345"	"3s.6p"	"3P*"	"2"	"3s.8d"	"3D"	"2"	5	5		
Mg	2	"10392.22"	"6"	"1.00e+06"	A	"11.629687"	"12.822409"	"2p6.4f"	"2F*"	"7/2"	"2p6.5d"	"2D"	"5/2"	8	6		
Al	2	"10392.30"	""	"4.75e+04"	E	"16.7406102"	"17.93332"	"3s.6p"	"3P*"	"2"	"3s.8d"	"3D"	"1"	5	3		
N	1	"10393.232"	""	"5.4e+02"	C	"10.9293522"	"12.1219574"	"2s.2p4"	"4P"	"3/2"	"2s2.2p2.(3P).3p"	"2P*"	"1/2"	4	2		
Ti	1	"10396.800"	"3500"	"7.1e+04"	E	"0.8484192"	"2.0406151"	"3d3.(4F).4s"	"a 5F"	"5"	"3d2.(3F).4s.4p.(3P*)"	"z 5G*"	"6"	11	13		
N	1	"10397.738"	""	"1.02e-03"	C	"2.3835298"	"3.5756182"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p3"	"2P*"	"3/2"	6	4	M1	
N	1	"10397.738"	""	"6.0e-02"	C	"2.3835298"	"3.5756182"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p3"	"2P*"	"3/2"	6	4	E2	
N	1	"10398.155"	""	"3.45e-02"	C	"2.3835298"	"3.5755704"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p3"	"2P*"	"1/2"	6	2	E2	
Mg	2	"10399.31"	""	"2.74e+05"	B+	"12.822409"	"14.014317"	"2p6.5d"	"2D"	"5/2"	"2p6.8p"	"2P*"	"3/2"	6	4		
Mg	2	"10399.63"	""	"3.07e+04"	B	"12.822446"	"14.014317"	"2p6.5d"	"2D"	"3/2"	"2p6.8p"	"2P*"	"3/2"	4	4		
N	1	"10401.288"	""	"6.5e+01"	C	"11.8444770"	"13.0361586"	"2s2.2p2.(3P).3p"	"4P*"	"5/2"	"2s2.2p2.(3P).3d"	"2D"	"5/2"	6	6		
N	1	"10401.9"	""	"2.22e+06"	C+	"13.7058146"	"14.89742"	"2s2.2p2.(1D).3p"	"2D*"	"5/2"	"2s2.2p2.(1D).3d"	"2D"	"3/2"	6	4		
Mg	2	"10402.71"	""	"3.01e+05"	B	"12.822446"	"14.013965"	"2p6.5d"	"2D"	"3/2"	"2p6.8p"	"2P*"	"1/2"	4	2		
Fe	2	"10402.8260"	"8"	"4.9e+05"	D+	"9.6536143"	"10.8451196"	"3d6.(5D).5s"	"e 6D"	"9/2"	"3d5.(4G).4s.4p.(3P*)"	"y 6F*"	"9/2"	10	10		
C	1	"10405.0098"	""	"1.1e+04"	C	"8.643023685"	"9.83427899"	"2s2.2p.3p"	"3D"	"2"	"2s2.2p.3d"	"3P*"	"1"	5	3		
B	2	"10405.5"	""	"8.4e+04"	D	"22.76583"	"23.95703"	"1s2.2s.5p"	"3P*"	"0"	"1s2.2p.3p"	"3S"	"1"	1	3		
B	2	"10405.5"	""	"2.5e+05"	D	"22.76583"	"23.95703"	"1s2.2s.5p"	"3P*"	"1"	"1s2.2p.3p"	"3S"	"1"	3	3		
B	2	"10405.5"	""	"4.3e+05"	D	"22.76583"	"23.95703"	"1s2.2s.5p"	"3P*"	"2"	"1s2.2p.3p"	"3S"	"1"	5	3		
N	1	"10407.169"	""	"1.81e-03"	C	"2.3846100"	"3.5756182"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p3"	"2P*"	"3/2"	4	4	M1	
N	1	"10407.169"	""	"2.56e-02"	C	"2.3846100"	"3.5756182"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p3"	"2P*"	"3/2"	4	4	E2	
N	1	"10407.587"	""	"1.13e-03"	C	"2.3846100"	"3.5755704"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p3"	"2P*"	"1/2"	4	2	M1	
N	1	"10407.587"	""	"5.2e-02"	C	"2.3846100"	"3.5755704"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p3"	"2P*"	"1/2"	4	2	E2	
N	1	"10408.1"	""	"2.06e+07"	C+	"13.7058146"	"14.89671"	"2s2.2p2.(1D).3p"	"2D*"	"5/2"	"2s2.2p2.(1D).3d"	"2D"	"5/2"	6	6		
C	1	"10413.61669"	""	"7.4e+03"	C	"8.643023685"	"9.833294423"	"2s2.2p.3p"	"3D"	"2"	"2s2.2p.3d"	"3P*"	"2"	5	5		
N	1	"10414.236"	""	"6.5e+02"	C	"10.9317574"	"12.1219574"	"2s.2p4"	"4P"	"1/2"	"2s2.2p2.(3P).3p"	"2P*"	"1/2"	2	2		
Fe	2	"10423.8644"	"26"	"1.8e+06"	D+	"12.1665863"	"13.3556868"	"3d6.(3H).5s"	"e 4H"	"13/2"	"3d5.(2F1).4s.4p.(3P*)"	"4G*"	"11/2"	14	12		
Cu	2	"10424.309"	"3700"	"1.2e+07"	D+	"16.90362090"	"18.0926708"	"3d9.(2D<5/2>).5d"	"2[1/2]"	"1"	"3d9.(2D<5/2>).5f"	"2[3/2]*"	"2"	3	5		
N	1	"10427.140"	""	"1.80e+02"	B	"11.8444770"	"13.0332041"	"2s2.2p2.(3P).3p"	"4P*"	"5/2"	"2s2.2p2.(3P).3d"	"2D"	"3/2"	6	4		
V	2	"10429.973"	""	"1.6e-02"	C	"3.3277048"	"4.5161089"	"3d4"	"a 1F"	"3"	"3d4"	"c 1G1"	"4"	7	9	E2	
C	1	"10449.93491"	"36000bl"	"2.1e+04"	C	"8.647160399"	"9.833294423"	"2s2.2p.3p"	"3D"	"3"	"2s2.2p.3d"	"3P*"	"2"	7	5		
Cu	2	"10453.004"	"4800"	"2.7e+07"	D+	"16.90362090"	"18.0894066"	"3d9.(2D<5/2>).5d"	"2[1/2]"	"1"	"3d9.(2D<5/2>).5f"	"2[1/2]*"	"1"	3	3		
S	1	"10455.449"	"1850"	"2.17e+07"	B+	"6.8601463"	"8.0456548"	"3s2.3p3.(4S*).4s"	"3S*"	"1"	"3s2.3p3.(4S*).4p"	"3P"	"2"	3	5		
S	1	"10456.757"	"310"	"2.18e+07"	B+	"6.8601463"	"8.0455065"	"3s2.3p3.(4S*).4s"	"3S*"	"1"	"3s2.3p3.(4S*).4p"	"3P"	"0"	3	1		
S	1	"10459.406"	"1300"	"2.18e+07"	B+	"6.8601463"	"8.0452062"	"3s2.3p3.(4S*).4s"	"3S*"	"1"	"3s2.3p3.(4S*).4p"	"3P"	"1"	3	3		
Ni	2	"10459.69"	""	"7.6e-02"	E	"1.680034"	"2.865062"	"3p6.3d8.(3F).4s"	"2F"	"7/2"	"3p6.3d8.(3P).4s"	"4P"	"5/2"	8	6	M1	
Ni	2	"10459.69"	""	"3.2e-06"	E	"1.680034"	"2.865062"	"3p6.3d8.(3F).4s"	"2F"	"7/2"	"3p6.3d8.(3P).4s"	"4P"	"5/2"	8	6	E2	
Cu	2	"10465.665"	"3800"	"3.6e+07"	D+	"16.90362090"	"18.0879721"	"3d9.(2D<5/2>).5d"	"2[1/2]"	"1"	"3d9.(2D<5/2>).5f"	"2[1/2]*"	"0"	3	1		
Be	2	"10467.40"	""	"4.50e+05"	A	"14.806342"	"15.990496"	"1s2.4d"	"2D"	"3/2"	"1s2.5p"	"2P*"	"3/2"	4	4		
Be	2	"10467.67"	""	"4.06e+06"	A	"14.806372"	"15.990496"	"1s2.4d"	"2D"	"5/2"	"1s2.5p"	"2P*"	"3/2"	6	4		
Be	2	"10467.88"	""	"4.52e+06"	A	"14.806342"	"15.990443"	"1s2.4d"	"2D"	"3/2"	"1s2.5p"	"2P*"	"1/2"	4	2		
Ar	1	"10470.053"	"1600"	"9.8e+05"	C+	"11.72316039"	"12.90701530"	"3s2.3p5.(2P*<1/2>).4s"	"2[1/2]*"	"0"	"3s2.3p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	1	3		
B	2	"10473.3"	""	"1.0e+05"	D	"21.582342"	"22.76583"	"1s2.2s.4d"	"3D"	"1"	"1s2.2s.5p"	"3P*"	"2"	3	5		
B	2	"10473.3"	""	"2.6e+06"	D	"21.582342"	"22.76583"	"1s2.2s.4d"	"3D"	"1"	"1s2.2s.5p"	"3P*"	"1"	3	3		
B	2	"10473.3"	""	"1.0e+07"	C	"21.582342"	"22.76583"	"1s2.2s.4d"	"3D"	"1"	"1s2.2s.5p"	"3P*"	"0"	3	1		
B	2	"10473.3"	""	"1.6e+06"	D	"21.582342"	"22.76583"	"1s2.2s.4d"	"3D"	"2"	"1s2.2s.5p"	"3P*"	"2"	5	5		
B	2	"10473.3"	""	"7.75e+06"	C	"21.582342"	"22.76583"	"1s2.2s.4d"	"3D"	"2"	"1s2.2s.5p"	"3P*"	"1"	5	3		
B	2	"10473.3"	""	"8.71e+06"	C	"21.582342"	"22.76583"	"1s2.2s.4d"	"3D"	"3"	"1s2.2s.5p"	"3P*"	"2"	7	5		
V	1	"10474.220"	""	"2.e-03"	E	"0.00000000"	"1.18338392"	"3d3.4s2"	"a 4F"	"3/2"	"3d3.4s2"	"a 4P"	"1/2"	4	2	E2	
Ar	1	"10478.034"	"13"	"2.44e+06"	C	"12.90701530"	"14.0899685"	"3s2.3p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	"3s2.3p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	3	3		
K	1	"10479.62"	"9"	"1.992e+05"	A	"2.6699600"	"3.852735"	"3p6.3d"	"2D"	"5/2"	"3p6.7p"	"2P*"	"3/2"	6	4		
C	1	"10481.021"	""	"5.5e+04"	B	"9.631071843"	"10.8136879"	"2s2.2p.3d"	"1D*"	"2"	"2s2.2p.6p"	"1D"	"2"	5	5		
K	1	"10482.15"	"5"	"2.205e+04"	A+	"2.6702462"	"3.852735"	"3p6.3d"	"2D"	"3/2"	"3p6.7p"	"2P*"	"3/2"	4	4		
Fe	2	"10485.1218"	"2.8"	"1.1e+06"	E	"12.3887082"	"13.5708617"	"3d6.(3P2).5s"	"2P"	"1/2"	"3d6.(3P2).5p"	"4P*"	"3/2"	2	4		
Fe	2	"10486.056"	"3.4bl(Ne)"	"3.4e+05"	D+	"9.7359140"	"10.9179622"	"3d6.(5D).5s"	"e 6D"	"5/2"	"3d5.(4P).4s.4p.(3P*)"	"6D*"	"5/2"	6	6		
K	1	"10487.10"	"8"	"2.168e+05"	A+	"2.6702462"	"3.852177"	"3p6.3d"	"2D"	"3/2"	"3p6.7p"	"2P*"	"1/2"	4	2		
Fe	2	"10490.9456"	"120"	"8.e+03"	D	"5.54876624"	"6.73026350"	"3d6.(5D).4p"	"z 4F*"	"7/2"	"3d5.4s2"	"b 4G"	"7/2"	8	8		
C	1	"10495.50"	""	"1.6e+04"	D	"9.833294423"	"11.014279"	"2s2.2p.3d"	"3P*"	"2"	"2s2.2p.(2P*<3/2>).8p"	"2[5/2]"	"3"	5	7		
Ti	1	"10496.116"	"3000"	"6.7e+04"	E	"0.83599520"	"2.0169105"	"3d3.(4F).4s"	"a 5F"	"4"	"3d2.(3F).4s.4p.(3P*)"	"z 5G*"	"5"	9	11		
